id;cpath;opath
10;[7953, 10560, 7956, 47, 37, 41, 60, 10013, 866, 5685, 869, 52, 54, 57, 5134, 7044, 10366, 741, 10407, 734];[7953, 10560, 10560, 47, 41, 60, 10013, 866, 866, 866, 866, 5685, 52, 52, 54, 57, 7044, 741, 10407, 10407, 734, 734]
11;[];[]
12;[52, 54, 57, 5134, 7044, 10366, 741, 10407, 734, 875, 886, 873, 8701, 2362, 1854, 905, 10408, 631, 632, 131, 8256, 2046, 8252, 126, 8, 2039, 6811, 2003, 5287, 2146, 10045, 2154, 6821, 6823, 6230, 6221, 6213, 6212, 6182];[52, 52, 52, 52, 54, 54, 57, 10366, 10407, 10407, 10407, 734, 875, 886, 873, 8701, 905, 905, 10408, 632, 131, 8256, 8256, 8252, 126, 8, 2003, 2146, 6821, 6230, 6212, 6182]
13;[3110, 5133, 3092, 10037, 8247, 8214, 5131, 111, 114, 4509, 1973, 3090, 560, 7918, 577, 1298, 10365, 1859, 435, 437, 440, 3171, 442, 1965, 3200, 3156, 3205, 3207, 3304, 3301, 3212, 445, 9558, 1963, 1960, 3335, 1903, 7101, 5364, 9200, 1747, 1748, 1761, 5354, 1940, 7697];[3110, 5133, 3092, 3092, 8247, 111, 114, 4509, 1973, 1973, 3090, 7918, 1859, 435, 437, 437, 437, 440, 442, 3156, 3207, 445, 1963, 1960, 3335, 7101, 5364, 1747, 5354, 7697, 7697, 7697, 7697, 7697]
14;[5492, 243, 7422, 8777, 7707, 7829, 8473, 7828, 7706, 8775, 8779, 245, 7911, 774, 8457, 8623, 830, 8240, 772, 8244, 7709, 7686, 8752, 940, 31, 92, 7797, 90, 3099, 3095, 3100, 3109, 3105, 3097, 10673, 7051, 4511, 1042, 876, 881, 747];[5492, 5492, 243, 7707, 7829, 7829, 7829, 8775, 245, 774, 8457, 8623, 830, 830, 8244, 8752, 8752, 31, 92, 7797, 90, 3099, 3100, 10673, 1042, 876, 747, 747]
15;[2043, 2037, 2071, 2331, 2073, 2036, 2044, 2052, 5583, 1782, 1219, 5586, 7235, 5565, 5570, 5584, 10487, 5572, 9383, 5568, 424, 8248, 425, 1311, 428, 429, 432, 577, 1298, 10365, 1859, 435, 436, 571, 10419, 879, 5284, 5281, 3137, 585, 10879, 587, 5691, 3185, 7050, 7048, 7061, 7819, 816, 814, 3113, 5671, 5672, 812, 916, 162, 8485, 10979, 7510, 10109, 4869, 10544, 4870, 2459, 533, 419, 5275, 5269, 421, 7166, 408, 4891, 7092, 1942, 410, 8963, 5397, 7764, 305, 8922, 8734, 8924, 306, 308, 0, 10123, 4, 5400, 5392, 301, 9599, 7624, 2328, 8262, 7620, 7622, 2669, 2326, 2664, 4226, 4222, 4177, 4180, 4181, 299, 9218, 1978, 303, 7765, 5398, 5255, 372, 371, 529, 3312, 531, 532, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 572, 8719, 573, 575, 7917, 7916, 7918, 577, 1299, 1172, 1303, 2283, 1171, 1256, 8729, 1257, 1169, 10420, 5811, 9380, 1168, 3001, 1166, 1695, 7241, 1100, 1214, 10517, 5551, 822, 8253, 128, 129, 8260, 624, 8002, 8261, 5109, 5004, 134, 136, 3, 9599, 7624, 2328, 8262, 7620, 7622, 2669, 2326, 2664, 4226, 4222, 4179, 4183, 4228, 4246, 4185, 9339, 7127, 9335, 9341, 9318, 9323, 9315, 9313, 4189, 9322, 9319, 9342, 9337, 7128, 9338, 4186, 4247, 4230, 4182, 4180, 4181, 299, 9218, 1978, 303, 7765, 5398, 5255, 372, 371, 530, 3314, 1725, 8481, 264, 8047, 9300, 161, 8483];[2043, 2037, 2071, 162, 8485, 10109, 2459, 533, 533, 533, 5269, 408, 410, 5397, 5397, 305, 306, 4, 301, 8260, 8002, 8262, 7622, 2664, 4222, 4183, 4185, 9339, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9315, 9338, 4247, 4230, 4180, 299, 1978, 1978, 7765, 372, 371, 3314, 264, 161, 8483, 8483, 8483, 8483]
16;[];[]
17;[];[]
18;[2330, 10197, 6999, 7304, 9202, 10484, 10177, 10174, 10707, 2383, 10710, 892, 10182, 578, 10194, 10184, 1340, 10192, 897, 1332, 1320, 10187, 10190, 1314, 5594, 5576, 5560, 5558, 5554, 1244, 1220, 5593, 5596, 7236, 5590, 5588, 5561, 5567, 5550, 5559, 1173, 1175, 1192, 1805];[2330, 10197, 9202, 10484, 10174, 10194, 897, 10190, 5558, 1220, 1220, 5596, 5561, 5559, 1192, 1805, 1805]
19;[9599, 7624, 2327, 7758, 5659, 5662];[9599, 7624, 2327, 7758, 7758, 5659, 5659, 5659, 5662]
20;[90, 3099, 3095, 3100, 3109, 3104, 3107, 5130, 5134, 7045, 7046, 7041, 7048, 7061, 7819, 816, 815, 3277, 5411, 863, 2610, 914, 7974, 3123, 907, 10020, 2607, 816, 815, 3277, 5411, 863, 2610, 914, 7974, 3123, 907, 10021, 3229, 10024, 10022, 3147, 3169];[90, 90, 3095, 3100, 3109, 3107, 5134, 7045, 7048, 7819, 816, 2607, 907, 10024, 3169]
21;[4279, 8928, 4289, 7106, 4129, 4119, 2705, 8786, 4309, 2676, 2031, 2716, 7461, 2034, 9000, 10140, 4236, 9584, 282, 279, 284, 274, 292, 298, 2632, 2643, 8326, 8329, 8336, 10538, 8338, 2284, 5366, 314, 315, 317, 6590, 8277, 6589, 8276, 6581, 8489, 8487, 6577, 6543, 6534, 1078, 6592, 151, 149, 358, 10126, 5006, 5110, 5125, 2082, 2085, 2366, 2084, 5123, 5, 6, 7995, 7536, 148, 7997, 7996, 2777, 320, 322, 2947, 324, 327, 329, 1068, 330, 2316, 2315, 2801, 2763];[4279, 4289, 4129, 4119, 2705, 8786, 4309, 2716, 9000, 284, 292, 298, 2643, 8326, 8329, 8338, 5366, 315, 317, 317, 6577, 6534, 6534, 6534, 6534, 1078, 6592, 7536, 7996, 7996, 2777, 320, 320, 320, 2947, 324, 1068, 330, 330, 2763, 2763, 2763, 2763]
22;[5492, 243, 7422, 8777, 7707, 7829, 8473, 7828, 7706, 8775, 8779, 245, 7911, 774, 8457, 8623, 830, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 833, 7782, 837, 7866, 7861, 852, 854, 7870, 8459, 107, 93, 99, 2127, 8765, 122];[5492, 5492, 5492, 243, 7707, 7829, 8473, 8473, 8775, 245, 774, 8457, 8623, 8623, 8623, 8623, 8623, 10259, 10273, 931, 931, 931, 939, 9691, 833, 833, 7782, 7782, 837, 837, 852, 107, 93, 99, 122]
23;[7918, 577, 1299, 1172, 1303, 2283, 1171, 1256, 8729, 1257, 1169, 10420, 5811, 9380, 1168, 3001, 1166, 1695, 7241, 1100, 1214, 10516, 5555, 5559, 1173, 1175, 1191, 5540, 1765, 6831, 8561, 8565, 6385, 8555];[7918, 7918, 7918, 7918, 1299, 1172, 2283, 10420, 3001, 1166, 7241, 1100, 5555, 1175, 5540, 8561, 6385, 8555, 8555, 8555]
24;[];[]
25;[7697, 7694, 7697, 7694];[7697, 7697, 7694, 7694, 7694, 7694, 7694, 7694]
26;[];[]
27;[5376, 7232, 5446, 187, 10372, 10370, 8026, 5378, 5383, 5382, 1727, 529, 3312, 531, 532, 535, 8266, 5257, 538, 3144, 3162, 566, 10565, 3194, 3195, 7480, 3295, 10563, 3175, 1967, 8323, 8320, 567, 571, 10416, 736, 3127, 735, 5246, 72, 10670, 3112, 3106, 3108, 3101, 3094, 75, 8201];[5376, 7232, 187, 8026, 5378, 5382, 1727, 1727, 529, 3312, 532, 535, 8266, 538, 3162, 3195, 3175, 567, 567, 10416, 736, 735, 3112, 3101, 75, 8201, 8201, 8201, 8201]
28;[52, 54, 57, 5134, 7044, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880, 569, 439, 8217, 610, 10723, 3245, 3252, 10044, 3262, 3259];[52, 57, 5134, 3343, 5690, 3136, 5285, 880, 569, 439, 439, 8217, 10723, 3262, 3259, 3259, 3259, 3259]
29;[8202, 6745, 1055, 28, 25, 5644, 1047, 69, 64];[8202, 6745, 1055, 28, 5644, 64, 64, 64, 64, 64, 64]
30;[439, 8215, 8049, 2362, 1855, 1856, 1866, 1848, 1872, 1864, 1873, 1172, 1303, 2283, 1171, 1256, 8729, 1257, 1169, 10420, 5811, 9380, 1168, 3001, 1165];[439, 439, 439, 8215, 8049, 2362, 1856, 1848, 1873, 1873, 1303, 1256, 1257, 10420, 3001, 3001, 3001, 1165]
31;[2801, 2763, 359, 3080, 330, 2316, 2315, 2801, 2763, 359, 3080, 331, 2760, 2128, 2132, 2130, 5311, 2134, 2802, 9600, 2318, 8515, 8519, 2316, 2315, 2801, 2763, 359, 3080, 331, 2760, 2128, 2132, 2130, 5311, 2134, 2804, 2133, 10965, 2098, 2321, 2104, 2135, 7426, 2092, 2095, 8772, 638, 628, 629, 633, 10136, 5250, 5248, 9650, 738, 8048, 436, 571, 10416, 736, 3127, 735, 5246, 72, 10670, 3112, 3106, 3108, 3101, 3094, 75, 8202, 6745, 1055, 28, 25, 5644, 1047, 69, 64, 7818];[2801, 2801, 330, 330, 8519, 2804, 10965, 2321, 2104, 2092, 2092, 2092, 2092, 2092, 628, 633, 10136, 5250, 5250, 5250, 9650, 738, 738, 8048, 436, 436, 436, 571, 10416, 735, 3112, 75, 8202, 1055, 25, 5644, 5644, 5644, 5644, 5644, 7818, 7818, 7818, 7818, 7818]
32;[8201, 5017, 4788, 18, 20, 8158, 8162, 8161, 56, 57, 5134, 7044, 10366, 741, 10407, 734, 875, 886, 873, 8701, 2362, 1854, 905, 10409, 10412, 10411, 636, 626, 637, 8773, 2096, 2109, 2965, 10106, 2970, 1071, 9723, 8850, 8843, 8849, 6429, 8844, 2960, 2877, 10287, 7358, 8363, 7373, 8369, 7392, 7387, 7376, 7354, 7398, 7368, 2940, 2945, 8055];[8201, 8201, 5017, 4788, 20, 8161, 8161, 56, 56, 56, 56, 5134, 10366, 10407, 875, 886, 873, 2362, 905, 10412, 636, 2109, 1071, 8849, 2877, 10287, 7392, 7354, 2940, 8055, 8055, 8055, 8055, 8055, 8055, 8055, 8055, 8055]
33;[];[]
34;[8201, 5017, 4788, 18, 20, 8158, 8162, 8161, 56, 57, 5134, 7044, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880, 569, 440, 3171, 442, 1965];[8201, 8201, 4788, 20, 8162, 8161, 56, 57, 7044, 3343, 584, 5285, 880, 569, 440, 442, 1965]
35;[];[]
36;[6654, 8427, 6652, 9541, 6650, 1123, 1121, 1117, 1134, 7586, 8398, 2798, 9614, 1906, 1928, 9117, 1914, 5263, 8126, 8130, 3222, 9066, 3225, 3219, 3227, 444, 540, 445, 9558, 1963];[6654, 6654, 8427, 8427, 9541, 1121, 1117, 8398, 8398, 9614, 9117, 1914, 5263, 3222, 3225, 444, 444, 444, 444, 444, 9558, 1963, 1963, 1963, 1963, 1963]
37;[732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7682, 7686, 8752, 941, 1052, 3355, 7904, 7684, 77, 7687, 8212, 8214, 5131, 111, 114, 4509, 1973, 3090];[732, 7809, 8752, 8752, 8752, 941, 7904, 7684, 77, 7687, 8214, 111, 114, 4509, 1973, 1973, 1973, 3090]
38;[33, 8460, 34, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7681, 8245, 770, 8243, 10259, 925, 10273, 6412, 931, 939, 927, 9691, 835, 7712];[33, 33, 7809, 7809, 7809, 7681, 8245, 8245, 8245, 8243, 10259, 931, 939, 9691, 835, 7712, 7712, 7712, 7712, 7712]
39;[];[]
40;[192, 194, 5403, 5371, 5449, 5438, 9186, 5443, 7404, 9104, 9099, 6788, 5465, 5461, 3960, 5475, 5524, 5471, 5454, 5467, 6775, 5432, 9873, 11029, 5457, 5474, 5420, 6771, 9021, 183, 185, 10385, 5435, 7232, 5445];[192, 192, 5371, 5371, 5449, 5449, 5449, 5438, 5438, 7404, 7404, 5461, 5461, 5524, 5467, 5474, 6771, 9021, 183, 185, 10385, 10385, 5435, 5435, 5445, 5445, 5445]
41;[7967, 7961, 7968, 1035, 1039, 7966, 7958, 1032, 5817, 1029, 1030, 378, 374, 6595, 6981, 5492, 243, 7422, 8775, 8779, 245, 7911, 773, 7912, 244, 8780, 7707, 7827, 246];[7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 7967, 1035, 1039, 7966, 5817, 378, 378, 378, 6595, 6595, 6595, 6595, 6595, 6595, 6595, 6595, 5492, 243, 8779, 245, 773, 246, 246, 246, 246, 246, 246, 246]
42;[162, 8485, 10979, 7510, 10109, 4869, 10544, 4870, 2459, 533, 419, 5275, 5269, 421, 7166, 408, 4891, 7092, 1942, 410, 8963, 5397, 7764, 305, 8922, 8734, 8924, 307, 7875, 7876, 2693, 9367, 2695, 8495, 4558, 10162, 4565, 4562, 4885, 7164];[162, 8485, 8485, 10109, 2459, 533, 533, 533, 533, 533, 533, 533, 5269, 408, 410, 5397, 7764, 305, 7876, 9367, 9367, 9367, 8495, 4558, 10162, 4565, 4885, 7164, 7164]
43;[5437, 5451, 5454, 5467, 6775, 5432, 9873, 11029, 5457, 5474, 5420, 6771, 9021, 183, 185, 10385, 5435, 7232, 5446, 187, 10373, 7229, 5239, 10145, 5238, 7230, 10368, 7231, 8047, 9300, 161, 8483, 368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 58, 24, 10039, 5129, 3103, 5133, 3092, 10037, 8247, 8214, 5132];[5437, 5437, 5467, 5467, 5432, 5420, 6771, 183, 183, 183, 183, 183, 10385, 7232, 187, 7229, 5239, 9300, 368, 368, 368, 5107, 3281, 3286, 52, 52, 54, 54, 58, 5129, 5133, 3092, 8247, 5132, 5132]
44;[];[]
45;[];[]
46;[];[]
47;[8201, 5017, 4788, 19, 5639, 6755, 1970, 7931, 67, 66, 20, 8158, 8162, 8161, 56, 57, 5134, 7044, 10366, 741, 10407, 734, 875, 886, 873, 8701, 2362, 1855, 1856, 1866, 1848, 1872, 1864, 1873, 1172, 1303, 2283, 1171, 1255, 4792, 5648, 4793, 2124, 1171, 1255, 4793, 2122, 1301, 429, 432, 577, 1298, 10363, 1874, 1875, 1871, 1872, 1864, 1873, 1172, 1302, 1301, 429, 432, 577, 1299, 1172, 1302, 1301, 429, 432, 577, 1298, 10365, 1859];[8201, 4788, 19, 5639, 5639, 5639, 5639, 6755, 1970, 67, 67, 67, 66, 66, 66, 20, 8161, 8161, 57, 5134, 10366, 10407, 734, 734, 734, 875, 886, 8701, 1855, 1866, 1873, 1303, 1255, 1255, 4792, 4792, 4792, 4792, 4792, 4792, 4792, 4792, 2124, 2124, 2124, 1871, 1871, 1871, 1864, 1873, 1873, 1873, 1299, 432, 432, 432, 10365, 10365, 1859]
48;[8483, 368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 866, 5685, 869, 52, 54, 58, 24, 10039, 5129, 3103];[8483, 368, 5107, 5107, 1159, 866, 52, 52, 54, 54, 10039, 3103]
49;[8201, 5017, 4788, 18, 20, 8158, 8162, 8161, 56, 57, 5134, 7044, 10366, 740, 3343, 3340, 5690, 3342, 584, 3136, 5282, 5285, 880, 569, 439, 8217, 610, 10723, 3244, 608, 3251, 3255, 2363, 5272, 606, 601, 614, 7992, 599, 645, 646, 598, 596, 591, 2883, 10945, 10942, 7972];[8201, 5017, 4788, 20, 8162, 8161, 8161, 57, 57, 57, 10366, 3343, 3342, 5285, 880, 439, 439, 8217, 10723, 2363, 606, 614, 599, 596, 591, 10942, 7972, 7972]
50;[192, 193, 196, 9302, 1363, 1371, 1401, 198, 1405, 4364, 1616, 456, 5606, 460, 176, 464, 10120, 10600, 1422, 10594, 6742, 3806, 3803, 4860, 4858, 4855, 8695, 3783, 9695, 3780, 3745, 3741, 3690, 9483, 9480, 205, 203, 202, 215, 212, 208, 5608];[192, 192, 196, 1363, 1371, 1371, 1401, 1401, 198, 1616, 460, 460, 464, 1422, 4860, 3783, 3690, 9480, 205, 205, 205, 215, 5608, 5608, 5608]
51;[10041, 54, 57, 5134, 7045, 7046, 7041, 7048, 7061, 7819, 816, 814, 3113, 5671, 5672, 812, 916, 162, 8485, 10978, 8481, 264, 8047, 9300, 160, 5666, 802, 5694, 1686, 806, 810, 7803, 8233, 7027, 5678, 1729, 10442, 3453, 3451, 1478, 1480, 3446, 1487, 701];[10041, 54, 54, 5134, 7045, 7046, 7048, 7048, 7819, 7819, 7819, 816, 3113, 5671, 916, 916, 162, 10978, 8047, 9300, 802, 806, 8233, 7027, 10442, 3453, 3453, 3451, 1478, 3446, 701, 701]
52;[368, 5107, 1717, 1707, 3283, 3281, 1705, 7057, 1159, 3278, 3286, 3288, 866, 5685, 870, 10367, 49, 51, 38, 46, 7955, 7953, 10559, 69, 64, 7818, 727, 730, 6431, 828, 7950, 46, 7955, 7953, 10559, 69, 64, 7818, 727, 729, 766, 1678, 7749, 764, 7750, 6749, 6755, 1970, 7931, 68, 6757, 7931, 68, 6757, 7931, 67, 66, 20];[368, 368, 368, 5107, 5107, 5107, 5107, 7057, 3278, 866, 5685, 5685, 10367, 10367, 51, 51, 7950, 68, 68, 66, 66, 20, 20, 20]
53;[222, 220, 9404, 1151, 3479, 3490, 3484, 3475, 3440, 8237, 9677, 9673, 9681, 3461, 3457, 7857, 3458, 3462, 9680, 3450, 3452, 800, 799, 3442, 796, 794, 8991, 8993, 10062, 5388, 137, 5113, 10124, 5117, 132, 621, 8258, 632, 131, 8256, 2046, 8252, 126, 8, 2038, 2005, 2001];[222, 7857, 8991, 8993, 8993, 10062, 5388, 5388, 137, 137, 5113, 5113, 5117, 132, 132, 8258, 632, 131, 8256, 2046, 126, 8, 2038, 2005, 2001]
54;[772];[772]
55;[1686, 806, 810, 7803, 8233, 7027, 5678, 1729, 10442, 3453, 3451, 1478, 1480, 3446, 1487, 701, 3491, 9514, 11021, 9407, 3501, 3503, 3502, 11022, 9513, 3492, 7207, 7209, 7210, 486, 788, 786, 513, 5161, 507, 509, 510, 5474, 5420, 6771, 9021, 183, 184, 1953, 5463, 266, 4568, 10386, 4554, 4556, 4557, 8494];[1686, 1686, 810, 7027, 7027, 1729, 3453, 3453, 3453, 1478, 1480, 701, 9514, 3501, 3501, 3501, 3503, 3503, 3503, 3503, 9513, 3492, 7209, 786, 509, 509, 510, 510, 5474, 5463, 5463, 266, 10386, 10386, 4554, 4557, 4557, 4557, 8494]
56;[732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7682, 7686, 8752, 940, 31, 92, 7797, 90, 3099, 3095, 3100, 3109, 3105, 3097, 10673, 7051, 4511, 1042, 876, 881, 747, 884, 749, 1973, 3090, 559, 561, 563, 4594, 10199, 2018, 1342, 894, 898, 8250, 423, 5569, 10187, 10190, 1314, 5594, 5576, 5560, 5558, 5554, 1243, 1783, 10249, 1790, 2047, 2041, 2043, 2037, 2072];[732, 732, 7809, 31, 31, 31, 92, 92, 92, 92, 90, 3095, 10673, 1042, 876, 747, 749, 749, 1973, 561, 563, 10199, 1342, 898, 5569, 5569, 10190, 5558, 5554, 5554, 1243, 10249, 1790, 2047, 2043, 2037, 2037, 2037, 2037, 2037, 2072]
57;[];[]
58;[8483, 369, 162, 8484, 552, 5280, 10027, 7974, 3123, 908, 3229, 10024, 10022, 3147, 3169, 911, 3273, 540, 445, 9558];[8483, 369, 8484, 8484, 5280, 3229, 911, 3273, 540, 445, 445, 445, 445, 9558, 9558, 9558]
59;[8473, 7828, 7706, 8775, 8779, 245, 7911, 773, 7912, 244, 8780, 7707, 7827, 246, 1058, 769, 3366, 7739, 7737, 7742, 7740, 3368, 7748, 7749, 764, 7751, 7433, 920, 922, 35, 5646, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766, 1678, 7749, 764, 7751, 7432, 6748, 35, 5646, 5639, 6753, 6750, 6751, 7815, 6432, 729, 766, 1678, 7749, 764, 7751, 7432, 6746, 732, 11071, 731, 6748, 35, 5645, 5641, 7813, 7810, 32, 6745, 1055, 29, 11058, 7809, 7807, 7682, 7686, 8752, 941, 1052, 3355, 7904, 7684, 77, 7687, 8212, 8214, 5132, 7687, 8212, 8214, 5131, 111, 114, 4509, 1973, 3090, 559, 561, 563, 4594, 10198, 890, 10204, 1353, 892, 10181, 2184, 2159, 2288, 8528, 2166, 2168, 2169, 8691, 8894, 2188, 2186, 8612, 673, 10323, 670, 669, 4900, 4912, 2232, 6115, 667, 668, 671, 10322, 675, 8610, 2185, 1789, 677, 2291, 2139, 10163, 679, 578, 10196, 1349, 1346, 1344, 2019, 10198, 889, 4591, 9063, 4609, 4592, 4589, 4598, 902, 121, 8767, 115, 113, 112, 7264, 120, 743, 5127, 3105, 3096, 3112, 3106, 3108, 3100, 3109, 3105, 3097];[8473, 7828, 8779, 7911, 773, 769, 3366, 3368, 3368, 7749, 7751, 7433, 920, 920, 922, 922, 6748, 7432, 11071, 7686, 8752, 8752, 3355, 7904, 7684, 7687, 8212, 8212, 8212, 667, 667, 7264, 120, 5127, 5127, 5127, 3105, 3105, 3105, 3105, 3096, 3096, 3112, 3105, 3097, 3097, 3097, 3097, 3097, 3097]
60;[];[]
