reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A3LWC833HQIG7J,B000IVDI4Q,austin_Larry,"[5, 5]","Even though my Nokida model, 6126, was listed as working when this arrived I thought oh-man they shipped the wrong thing. Then I looked at the model number on the cable and it was the one I ordered. Then I thought oh man I ordered the wrong thing.Turns out it works even though all the connections do not seem to match, it is secure, and actually have a very high transfer rate. So if you get it out and it doesn't seem like it would fit, play with it until it snaps in and it probably will work for you if your model is listed.",5,Looked like it would not work but it does,1198108800,"12 20, 2007"
A19EKT8H85AKO5,B000IVDI4Q,BigStory,"[0, 0]","Up till last year, I was still fully into one of those old-school Sony CD-Walkmans for my music. My cell-phone was too old and could only be used to make phone calls..Then, I finally upgraded my cell-phone.So now all I needed to enjoy music from my phone was a USB cable to connect my Nokia to my old Compaq computer(the computer upgrade would come only recently).I first decided to order a no-name USB compatible cable, big mistake. So I went back and ordered the Nokia OEM CA-53 USB data cable, great choice!I've had the cable for about a year now and overall, it works great. The cable material itself feels much better than the generic brand I bought. For the most part, the music that I rip from my CD's are transfered flawlessly to my Nokia phone.The only minor complaint I have is that sometimes the physical connection between the USB cable and my Nokia phone is a little too easily knocked-off. So I have to take care not to touch the phone at all while data is being transfered.Overall this is a solid choice that I definately recommend for your Nokia phone.",5,No more CD Walkman!,1222387200,"09 26, 2008"
A313DADVI76HKM,B000IVDI4Q,Micah Klatt,"[0, 0]",This was from 3 phones ago (at least).  But I remember it did the job well.  I had no problems with it.,4,good cable,1373932800,"07 16, 2013"
A2JISE2I6HE4Y5,B000IVDI4Q,Peak Gazer,"[5, 5]","This arrived in what appeared to be a Nokia retail package, and had Nokia insignia on the cable. It appeared to be genuine. The package lists only a few Nokia phones by number, then says ""and compatible phones"". Orientation of the unique Nokia plug (?POP) is not obvious and the plug does not go in easily(until it's perfectly lined up). For my 6126 the plug needs to be oriented with the Nokia insignia to the front of the phone. Once connected the cable worked perfectly.",4,Does what it should.,1180656000,"06 01, 2007"
AUCIFMWP3DU8R,B000IVDI4Q,"R.S. Eisenberg ""Keeping it real since 1959""","[1, 3]","I am sure this cable works fantastically.As long as it is used with the correct phone. I should have know better, but the price was so incredibly low- especailly having originally purchased the correct cable from Nokia 2 years ago for fifty bucks- that I felt, even if my phone was not listed, hey, it could still work, right?Wrong. But in an effort to write a 'helpful' review I have to add, it is in fact an OEM Nokia CA-52 cable, it was very inexpensive, and it arrived much sooner than expected.",5,RFTM,1218758400,"08 15, 2008"
A3155NWLKXEY1I,B000KBFX6K,AKO California,"[17, 17]","This is a pretty solid case.  It's very stiff so it's almost a hard case, but is still flexible.  Should protect well if it gets dropped.Both sides are the same so the scanner can go into either side and the cable into the other.  The scanner is slightly higher than one side of the case.  There's a padded flap in between the halves of the case that pushes into the other half a bit.  That compresses the cable in the other side and makes it so nothing moves around.Functionally, that's a great design, but for looks I would have liked the scanner to fit completely into the bottom, with a thinner top half for the cable.  As it stands I might be able to get a couple other cables or things into the top part so it's probably a net plus.",5,Nice and durable,1206748800,"03 29, 2008"
A3PKRPUGNPSBRH,B000KBFX6K,anonymous,"[3, 4]","I have used this case to protect my scanner inside my laptop case going through airports, etc.  Provides good protection.",5,Protects scanner.,1219536000,"08 24, 2008"
A1UCAVBNJUZMPR,B000KBFX6K,Dabuck,"[2, 2]","My Adesso Scanner came with a velvet drawstring bag. I wanted something more substantial, and thought this case might work. The quoted dimensions are slightly off. The outside dimensions are actually 11.5 X 2.5 X 2.2 none is 3.2The inner dimensions are 11 X 2 X 2  My Adesso Scanner is 10.75L X 1.8W X 1.25H  so it fits perfectly. The case opens up into 2 hinged halves. Each half is about 1 inch deep. Each half has a 1 inch wide elastic band across the middle, and there is a sewn-in flap that protects one half from the other when closed. The scanner cable fits in the opposite half from the scanner and there is still room for some small accessories. All-in-all, I am VERY happy with this case.,It suits my needs perfectly/",5,FITS MY ADESSO SCANNER PERFECTLY,1357257600,"01 04, 2013"
A3RVD4YLHCHSME,B000KBFX6K,D. F. Gilbert,"[0, 0]","I purchased this case as I knew I would be traveling with my NEAT scanner.  This is a semi-hard case and offer superior protection for the scanner.  I would highly recommend this to anyone, in fact for the cost of the NEAT it should have been included.",5,Hard Case to Beat,1341532800,"07 06, 2012"
A2Y29IRSI08F0I,B000KBFX6K,Frank,"[1, 1]",The case if very hard and protects the scanner very well. I travel a lot internationally and am very happy with this purchase.,5,Good Protection,1354752000,"12 6, 2012"
A2F3YDC2PKGA52,B000KBFX6K,Larry M. Tedrow,"[0, 0]","I bought this case for a brother DS-600 mobile scanner as it was advertised to fit that scanner.  However, upon receipt I could not fit the scanner into the case as it is about 1/2 inch too short.  It is a good quality case, well made and sturdy but they advertise that it will scanners that it clearly can not.",2,"Nice case, but scanner did not fit",1388448000,"12 31, 2013"
AEGZO7OR1U46R,B000KBFX6K,Vivian C. Marxuach,"[0, 0]","In truth, I am glad I bought this case in the event that I need to store or travel with my scanner.  However, I don't see myself taking my scanner anywhere.  Since I bought my scanner, it has been next to my computer and I don't really see the need to take it anywhere.One thing I am curious about is that the case has 2 sides with elastic and only one scanner fits inside, so I can't figure out why 2.  Anyway, it is just an observation because it doesn't affect the fact that the slim scanner fits great in it and protects it well.",5,Glad I have it,1264291200,"01 24, 2010"
A1G1OLNYJXP6AZ,B000PIHG9U,Flor,"[0, 0]",Just as I imagined it. Fits well with the phone and it does not come out at all and sits well.,5,great,1399852800,"05 12, 2014"
ACSSZVWK8QGM0,B000PIHG9U,"Lazer ""Lazer""","[0, 0]","Nothing remarkable, but well made and has been holding up very well now for over 2 months.I like that i don't have to unflap anything to quickly grab my phone when it rings.",5,Simple Classic Cell Phone Case,1361836800,"02 26, 2013"
A2235V469ASI7Q,B000PIHG9U,milogroch,"[1, 2]","The shipment was on time, and I am happy with the product. The product was Exactly what I ordered, I would recommend  this item.",5,Flip Phone Case,1320624000,"11 7, 2011"
AXP5CYB47HL9A,B000PIHG9U,Samuel,"[0, 0]",Thank you the item was received it was 100% satisfied with the item the one that received it was very happy as well thanks,5,thank you the item was received,1370736000,"06 09, 2013"
A2NQH2SLL8MQOB,B000PIHG9U,Steph,"[0, 1]","THis works well, but is not sturdy. This is the 4th or 5th case that has broken, just by catchinig on seat belt, etc. My husband likes this model, but we will probably find a different kind.",2,Clip catches and breaks,1372636800,"07 01, 2013"
ASHMKDJI9Q3K4,B000Q5J2M6,K. Gehrke,"[5, 5]","My first bluetooth was a Motorola. I have not been happy with the Motorola fit as it feels like it is going to fall off...and on occasions it has. I am also replacing the motorola because I now have 2 cell phones I need to carry and want to use both simaltaneously. To replace it, I found a great deal on a Jabra BT5010. Great headset, so good, my wife stole it. Went to buy another and the price had gone back up. I tend to lose or damage things, so I have set a budget of no more than $30-$40. I then found a deal on a Jabra BT5020. I had received a bad unit and the exchange from another buy.ing website went bad and finally received my money back. Again, went to buy another and the price had gone up. This led me to the Cardo 700lx.First off, the fit is by far the best of the 3 I have had. I can honestly say, I have forgotten it was on and it can startle you when a call comes in. After 5-10 minutes, you dont even notice it on at all. Extremely light weight. A 5 star in my book. Where as, the motorola is a 1 star, the BT5010 is a 3 star, and the BT5020 is a 3.5 star.Next is ease of use. I like the placement of buttons. The main button on front has a definate click to it so you know you have pressed it and doesn't leave you guessing. The rocker volume dial on back is great for adjusting volume and can be reversed if placing on your left ear so rocking up is always louder and rocking down is quieter. Pressing the dial in also has function as well. Neat, simple design and easy to access with larger fingers. Again, 5 star.Finally is funtionality. This is where I have to question my rating. I know this is not a $50 headset, $75 headset, or even a $100+ headset and wont rate it/compare it to such. I understand you get what you pay for. With that said, here is my humble opinion. The headset has great volume and sounds as good as using the phone itself. However, the range is not as good at the others I have used. The Headset operates best with the phone in sight. Static is noticed by the caller (not me) if the phone is on my body the opposite of each other. In the car, it is best to place in the right ear and the phone in the center console or passenger seat. If you want to use it in the left ear, the phone should be on that side. Same side line of sight distance is approximately 10-12 feet before static comes in for the caller. Call quality is always good on my end, however again, the caller definately knows you are on a headset as it does have a slight echo. Again, I know this is not an expensive headset and is not perfect. But, no caller has complained when asked. Some didn't even know I was on a headset. Background noise is an issue for the caller though. One does need to close the windows, turn down/off the radio, lower the HVAC fan for a quality business conversation.Final note comes to the multiple bluetooth pairing function. The main feature I was looing for was having a headset that would work with 2 phones. Since I carry a personal phone and a work phone, I want to answer and use both without changing phones or settings. The Jabra's were good, but voice recognition, redialing, and funcions only worked with the last phone paired up. That means, if you wanted to use the 1st phone you connected, you had to find the phone and manually use it. Not bad if it is seldom used. As for me, I use each phone equally. This headset allows you to double tap the volume rocker to switch between each phone. Great feature that allows full function use of each phone. The only drawback is that only one phone is 'active' at a time on the headset. Meaning, if you are talking on phone 'A' and then hang up...minutes later phone 'B' rings, you do not hear it in your headset and must listen for the phones ringer/vibrate. Then, once you hear the other phone ring, you double tap the volume rocker to switch over to the phone 'B'. A drawback to be able to use full function of 2 phones. In the Jabra's, the headset would ring for each phone without doing anything (great), but voice dialing was only for the last phone paired.Added benefits include not having to by accessories. It come in the box with a wall charger, car charger, usb charger, and a belt/carry pouch.In conclusion, great headset for $30. In that price range (under $50??) it is a 5 star. Is there better out there. Certainly. But you have to double, if not, triple the price. For $30.00, I am extremely happy and would recommend it to others.",5,"Can you buy a better headset? Yes, but not at this price.",1215388800,"07 07, 2008"
A1N7NA5148ZREP,B000Q5J2M6,"Newbie DIYer ""Double D""","[0, 0]",Worked fine until it stopped working.  I Could hear ok but all the other person could hear was a faint voice. Four months usage. Won't buy another of this brand.,1,Dead after four months.,1288310400,"10 29, 2010"
A2O4E2QYUG1M28,B000Q5J2M6,Nimajneb,"[0, 0]","This is the second Scala 700 set that I've owned. The first one developed a crack right on the seam after less than a year of use (I didn't drop it). I tried super glue but the glue may have gotten into the circuitry because the microphone stopped working.Overall, the headset feels flimsy and if you grip it too tightly, it will crack. However, we all want a lightweight headset...so maybe I shouldn't complain. The Scala picks up all outgoing calls automatically after you dial the # on your cell phone. However, you have to press the button on the Scala after picking up incoming calls. This results in a 2-3 second delay...an eternity if you've got another person on the line saying ""hello? hello?"".It's got its drawbacks but it's the only headset that works consistently with my Treo 650.",4,Works well with Treo 650,1202860800,"02 13, 2008"
A3GDOJQ0OMVZ1F,B000Q5J2M6,Ranger,"[11, 11]","I've owned a Scala 500, a 700, and now the 700LX (in addition to a few models of Motorola headsets).  The Scalas absolutely have the best sound clarity, and handle wind noise far better than any Motorola I've used.  I only recently replaced my 500 (battery gave out after a couple years hard usage and it wouldn't hold a charge) with a 700, which I loved--until it made an unscheduled trip through the washing machine.  The 700LX is nearly identical to the 700, with one added improvement.  The earpiece on the 700LX, unlike the base 700, has a much stiffer wire for custom fit.  This way when you get it to fit, it is more likely to fit AFTER you mash it around in your pocket.  Another great feature is turning off the blue blinky LED, so you can be a bit more disreet when calling.  It has a bunch of other features, too many to list but most are useful. I'm surprised this brand isn't more commonly availabe in stores--it works outside in the wind, it has great sound, and is tiny.  What more can you ask for?",5,Best Scala yet,1199491200,"01 05, 2008"
AEWUCH7J8RKFO,B000Q5J2M6,Richard Moffitt,"[0, 0]","This headset performs exceptionally well for such a light device.  It's almost so small that you can lose track of it in a pocket.  Even comes with a carrying case!Battery life is very good, and speaker volume was actually too high at times (but easily adjusted).  When speaking with other people, they were able to hear me very clearly.  Occasionally, the noise canceling would cut off my voice if I was too quiet.  When driving in a car, this happened rather frequently.In short, this headset is an absolute bargain whose only drawback may be with regard to operating in noisy environments.  The Jawbone may be better at managing noise, but it's far more expensive.  Get this if you're looking for a deal.",4,Great headset with some small cons,1190592000,"09 24, 2007"
A1N7LGUPJWWQS9,B000V6KD78,A.J. Matheson,"[0, 0]",I ordered this for my Xbox 360 slim and it worked just as expected. Haven't had any issues with it. Shipping was quick and it was super easy to get working.,5,Works perfectly,1353974400,"11 27, 2012"
ARBMBLFBK10XI,B000V6KD78,Ame,"[0, 0]",It gives you the capability to use a wireless headset with sound in unison with an hdmi cable causing no problems with my Xbox,5,Love this thing!,1379894400,"09 23, 2013"
A2YPY74P802E71,B000V6KD78,C. Conway,"[0, 1]","Was working on my daughter's XBox 360, an older model without the HDMI out.  This did the trick of allowing me to connect it to an old PC monitor I had laying around instead of constantly hooking and unhooking from our TV.  Good thing I bought it because just after I got HER XBox tuned up my youngest daughter told me she needed me to take a look at her's.  Looks like this cable is going to get quite a workout.",5,Worked Like A Charm,1390608000,"01 25, 2014"
A3QIEISBZP4QTV,B000V6KD78,"Mark E. Baxter ""Inquirer""","[0, 0]","I ordered this because the Microsoft one is super over-priced, but in the end, it just would have been better to get the Microsoft one. (or better yet use HDMI if that is an option) The overall build feels cheap, and looks cheap, but that doesn't always mean it is cheap, this time however, it did. It works, I'll give it that, and it even came with a nifty little adapter/extender for the Audio cable, but the image is in triplicate, the main image in the middle, then a ghosted image on both sides. It isn't so bad that you couldn't play but it definitely gets annoying super fast. Just bite the bullet and get the Microsoft one, or get a new monitor for Christmas that has HDMI input like I did.",2,At least it worked.,1324771200,"12 25, 2011"
A1KAE1LOY4TBSV,B000V6KD78,"R. Gardner ""RPG""","[4, 4]","Works great. Do not spend 30 bucks and get the microsoft one. I just plug speakers, and play xbox on my computer monitor, and projector. It is very good quality. Would recommend. Goes to 1080i resolution.",5,Works perfectly,1261267200,"12 20, 2009"
A3CW0ZLUO5X2B1,B0016L6OWK,"35-year Technology Consumer ""8-tracks to 802.11""","[0, 0]","The auto charger I purchased with my mobile phone from the vendor's brick and mortar store went bad after a year of use; first it wouldn't recharge the phone (but would power it), and eventually it would neither recharge nor power the phone.While there is apparently little to differentiate auto chargers for mobile electronics, the iGO has unique flexibility that make it worth considering over others:-First are the interchangeable charging tips. Buy a single charger, and it accommodates a variety of swappable charger form factors (I also purchased charging tips or an iPod Nano and my phone).-Add an iGo PS00272-0001 Power Splitter, and you get the flexibility of being able to charge two devices at the same time.",5,Great replacement for OEM chargers; available splitter adds versatility,1277164800,"06 22, 2010"
A30IC78OWIW5OW,B0016L6OWK,aaron,"[2, 2]","This charger is fantastic. My only complaint is a year after iPhone 5 is out, they don't have a tip. I'm sure they are trying, but the dream of the iGo is that whenever you get a new device, they will have a tip for it. Still waiting.",5,Only 1 complaint,1370131200,"06 02, 2013"
A14Y5DJD1MI5NF,B0016L6OWK,"CV ""CV""","[0, 0]","Service, delivery, pricing & product work great. You can't ask for more then this. I would recommend this product to all.",5,I Go charger,1325462400,"01 02, 2012"
A2BLFCOPSMBOZ9,B0016L6OWK,Dave Edmiston,"[1, 1]",I've used many iGo products and this is the first one to disappoint.  It doesn't fit in the 12v outlet (cigarette lighter) as well as it should and it comes loose all the time.  So my devices run out of charge when I think they've been charging.So this product fails at it's one purpose:  to charge stuff.I still love iGo products and I'm still very happy with the other iGo 12v chargers I own--just not this one.,1,Disappointing Fit,1241136000,"05 01, 2009"
A3AWA41O2237S,B0016L6OWK,Grantisimo,"[0, 0]","I've had one of these for 6 years, when the cord finally frayed and I needed to replace it. I bought this because it was inexpensive, but it just didn't work quite the same as the old one. It didn't have as much reach so I couldn't use it to charge my phone in the dash mount I have. It charges fine and works just like the old one (my tips all fit and it passes plenty of current). It just didn't meet my needs.",4,iGO Charger,1366416000,"04 20, 2013"
ABXANRX4GPYRZ,B0016L6OWK,hdtravel,"[0, 1]",Use your existing set of iGo charging tips to charge your stuff in your vehicle.Nice quality and the glowing blue light that comes on while plugged in is cool.You will like it.,4,Nice Product,1229731200,"12 20, 2008"
A2MJ8OL2FYN7CW,B0016L6OWK,"Lynne E. ""Lynne E.""","[0, 0]","To charge anything with this IGO UNIVERSAL CAR CHARGER, you will need an iGo power tip (not included).  I purchased my charger for use with a Motorola Droid Razr smartphone.  This smartphone requires the iGo A97 tip (seeiGo Power Tip for the Kindle 2, Kindle DX & Motorola RAZR2, Q2, KRAZR2).  You can find out which tip your device needs by searching Amazon, or by visiting the iGo web site.This is a well-made, good-looking car charger.  I really like the blue LED light encircling the iGo logo, which goes on when the charger is connected and charging a device.  (The light goes on when your ignition key is turned to ""accessories on"", or turned all the way to ""start"" with the car's engine running.)Charging my smartphone with this car charger is much slower than charging it from an adaptor plugged into an  electrical outlet.  However, with this charger my smartphone went from no charge (after I left the wireless connection on and drained the battery overnight) to a charge of about 50 percent after a 60-mile road trip.  I keep this charger in my car, so I'll always be able to charge my smartphone if forget to charge it and let it run down completely.",5,Blue LED Light Shows That Charger is Connected and Charging Device,1359849600,"02 03, 2013"
ASS467XXKVR11,B0016L6OWK,MP,"[0, 0]",I got lucky because a while ago I ordered some adapters for my new iGo only to learn they were for the older model. It was not worth returning them but I'm glad now as they work great with this older device. Just be careful!!,5,works terriffic but you need the old adapters,1322870400,"12 3, 2011"
A13L9SK2HD7NKH,B0016L6OWK,Orestes,"[0, 0]","I think, that is an excellent product, I recommend to all",5,"that is an excellent product, I recommend to",1404777600,"07 08, 2014"
A371Z04GWURCYC,B0019M7DD0,Amazon Customer,"[2, 3]","Pairing it up can be a little tricky but there are instructions as well as good customer service.This only works with certain model phones though. Not all DECT 6.0 phones will work. Works with CL84100. This model is TL7600. Doesn't work with EL52100.Comes with 3 attaching pieces. One for behind the neck to ear(s). Another on top of the head wire but for a small head. The other is the ear piece (hooks on ear) and more favorable.The TL7610 works on it's own (doesn't need a base-is the base)or has a phone jack to the wall. Don't think this model will dial though.LEDS:blue & orange flashing - ""not registered""blue - ""registered""",4,Works good but had a hard time pairing,1348617600,"09 26, 2012"
A3VPJTJ1H4QDJ7,B0019M7DD0,"Diligent Shopper ""Careful Consumer""","[0, 0]",Purchased because I telework from home a couple times monthly and this product proved to be a winner. Would recommend if you have the requisite AT&T system. Bluetooth was easy to setup and no complains to date.,5,Great telework Product,1400544000,"05 20, 2014"
AP5D3I53HR5P3,B0019M7DD0,fuss1,"[2, 2]",This unit has worked really well thus far. We generally put it back on the base to charge when we are done using it so I can't speak to how long the batteries will last but it has lasted for quite a while when my Wife uses it. Thus far we are very happy with this unit.,5,Good unit thus far,1264291200,"01 24, 2010"
A3SRGAO3O2AY54,B0019M7DD0,"kdc ""KC""","[1, 1]","Gave it only three stars initially for very confusing instructions on how to pair this device with TL86109!  I was about ready to pack this up and return it thinking it was not compatible with TL86109.  The instructions in the guide for the TL7600 do not work for for the 86109.  You must go to Page 133 of the manual for the 86109 to pair it. Luckily I saved the manual for the phone which I bought 3 Years ago!(Very simple if you don't still have the manual---you just press down the HOLD button on the telephone base. It will then say REGISTERING HANDSET)After following the instructions, it still wouldn't pair. It would say REGISTERING HEADSET for about 45 seconds, then beep and return to homescreen.  I removed the battery and unplugged the charger, then plugged everything back in, placed headset in charger and tried it again. (NOTE--I think it has to be on the charger base to pair)  PRESTO!  Headset registered after 3 seconds.  I haven't used it much yet, will update review after using for a bit.",3,Pairing a bit tricky with TL86106,1361145600,"02 18, 2013"
A3QA13W0Y7TM86,B0019M7DD0,"Mike S. ""-Mike""","[4, 4]","Picked this headset up after buying the TL7610 by mistake. I have only had this for about 48 hours but it has already had about 20 hours of use. I have had 10 different phone systems and headsets looking for nirvana. My job has me on the phone all day. Sometimes 14 hours a day or more so I'm becoming an expert in phone systems and headsets.Setup:First of all, the configuration was VERY easy. You need to follow the instructions for your particular base system and NOT the instructions that come with the TL7600. My system (TL8609)pairing a headset instructions were in the very back of a very large manual. Press the ""Hold"" button for 4 seconds and BAM! registered the headset in 5 seconds.Comfort:I agree the over the ear piece is a pure torture device. Hard plastic, non adjustable in-ear piece and did not even come close to fitting in my ear. If it fits your ear, great but the hard plastic is going to hurt with extended use. I never like anything in my ear anyway so I use the headband. I find the headband on the TL7600 very comfortable. In 2 days I have had it on for at least 20 hours. After a while I forget it is even on. I can't comment on the behind the head strap as I never use those.Ergonomics:The base is a little odd. You really need to slide the headset in from the top. Makes it a bit of a pain but not a major issue. The headset sits right night to my mouth and the overall feel is excellent. I find the mute button is in the perfect spot for my use and the little ""beep"" every 15 seconds is nice to remind you that you are on mute. The only real issue here is the way you need to transfer calls to the headset with my particular system. In this one area the Plantronics was better. With this, you need to dial a number then hit the ""select"" soft key twice to transfer to the headset. If you get an incoming call on line 1 you can simply push the power button on the headset. If a call comes in on line 2 you must push the call to the headset. A minor annoyance but I'm already pretty fast at doing this.Sound Quality:Far better than any other wireless headset I have tried. I had a Plantronics which was 4X the cost and people constantly complained that I was fading in and out. The further I walked the worse it got. That system is considered to be one of the best and now it just sits in my closet as I went to wired headset thinking I'd never find anything better than the Plantronics. So far this thing is amazing. People say I sound clear and I don't need to shout over people on a conference call to be heard. Some have said the volume is too loud but I do not find that to be the case. Mine is set a couple notches up from the lowest setting and it is the perfect sound for me. I walked all over my 3600 st ft home and kept connected with no issues anywhere in my home. I did not go into the basement.Build Quality:Seems like a well built unit some complained the headband is cheap and breaks. I find just the opposite. The headband is steel and has a nice padded piece for your ear and the other plastic parts seem sturdy to me. The base is solid with only a single power line with a small wall wart on the end.Overall I am very happy with this purchase. My headsets get more use in a month than most would get in a year so I'll report back in about a month.",4,Almost Perfect,1352419200,"11 9, 2012"
