reviewerID,asin,reviewerName,helpful,reviewText,overall,summary,unixReviewTime,reviewTime
A28SMA3I9LUP4X,B0001NDYOK,"Aquiferman ""aquiferman""","[0, 0]","It was easy to install ... seems to be &#34;universal&#34; ... yet, the extension coming out of the leg of the stand could be a bit longer. However, by turning the screw real tight I think that it will hold",4,Nice ... solid ... extension could be longer,1391126400,"01 31, 2014"
ADMUEN7P6YOSK,B0001NDYOK,BH,"[0, 0]",Not much to say about a kickstand but very easy to put onto my son's 24&#34; bike.  nice product. thanks,5,Nice and easy,1365724800,"04 12, 2013"
A39BGN8JA7CIFX,B0001NDYOK,BOOKFreak!,"[0, 0]",I was impressed with this kickstand. I bought the Schwinn Adjustable Kickstand and it didn't hold up a toddler bike and I was really hoping this one would work. I have used it on both a small 16' bike and a large adult bike with a heavy basket on it and it worked well on both. It is also very easy to get on and take off and adjust. Lets just say I don't get my hands dirty much and I was able to do this with ease and the right tools. Great kickstand and very affordable. I got mine at Walmart for around 6 dollars.,5,Works for large heavy bikes and small bikes,1341878400,"07 10, 2012"
A3GFPC4MTFIQK1,B0001NDYOK,ChrisLanders6694,"[0, 0]","I have a BMX bike that I am turning into a casual cruiser. It does not have a kickstand hole, but This fits perfectly being tightened onto the frame where it becomes triangulated. The adjustable aspect is better than I expected, it is VERY simple and easy. I definitely suggest this to everyone!UPDATE: Just bought my 2nd one, as I loved the 1st one I got. Unfortunately, it is A LOT tighter and I have to force it up and down more than I should. I greased it a bit, hope it helps more! Still more useful than the crappy stock ones I got!",4,Almost universal!,1379116800,"09 14, 2013"
A3DW41FD8CDUE6,B0001NDYOK,"C. Thigpen ""Homeowner""","[0, 0]","Item works as described, easy to install, will see how it holds up, but so far no problems and adjustable.",4,Works!,1362700800,"03 08, 2013"
A28HJK0WAY42K7,B0001NDYOK,DG,"[0, 0]","I Purchased three of these They work well.1 for my kids bike, 1 for my bike, and 1 for my wife's bike. I love the adjustable height on these.",5,Great Stand,1311811200,"07 28, 2011"
A1CUYE8PKZE3GL,B0001NDYOK,DRH2015,"[0, 0]","Bought for my kid's 12&#34; bike and it installed within 3 minutes. Spring action is a little stiff to start out, but loosens within the first few uses. Bolted on securely just behind the bottom bracket and is holding strong. Swings well up and out of the way of his feet and pedals. Adjustment mechanism is easy and holds well, this stand should easily switch between bikes as he grows. Well worth the price.",4,Fit my child's bike quickly and securely.,1374624000,"07 24, 2013"
A17771LTRWSKQ5,B0001NDYOK,Helen S. Lam,"[0, 0]","Installation only required tightening one bolt.  It was a perfect fit for my son's 16"" bike.  I did not even have to adjust the height of the kickstand!  The only very minor nit is that it was stiff engage the kickstand.  I worked it for a few minutes and it loosened up a bit.  WD40 will likely help loosening it further.Just make sure your bike has that little plate with a hole between the pedals (see the last picture on the listing).  Otherwise, it may not work.",5,"Great kickstand for 16"" bike",1373414400,"07 10, 2013"
A2MGQF3O17VCD3,B0001NDYOK,Igor Smirnov,"[0, 0]","I like this solid metal design much better than the cast aluminum , because the cast aluminum broke almost right away. This one lasts for ever.",5,Very good,1390694400,"01 26, 2014"
A3IEBFQFROGCKN,B0001NDYOK,jacob scott,"[0, 0]","My son's bike lacked a kickstand since it came with training wheels. I ordered this so he could park it just like the grown-up bikes. It works, but it is really stiff, so it's a bit tricky for a five year old to kick up and down. Otherwise it's a solid unit at a good price.",4,Works well enough,1395273600,"03 20, 2014"
A2FUNN2NPIZXIA,B0001NDYOK,J. Horn,"[0, 0]","Why do you sell a kids bike without a bike stand, i don't know.  But at least this part was cheap and easy to add on.",4,quick and easy,1360627200,"02 12, 2013"
A252UER9089YGO,B0001NDYOK,"J. Kennedy ""j2kenned""","[0, 0]","its not just too short but the attachment hardware doesn't let me tighten the way i'd like to. I;d pay a few extra dollars to get a sturdier product, and that says a lot since i only paid 130 for my bike",3,too short for my bike,1380153600,"09 26, 2013"
APEFX3AHOR14V,B0001NDYOK,Mark Twain999,"[0, 0]",As others said the spring is initially a little stiff but it wears in.Decent quality and the adjustment setup works well.5 minute install.,5,Good kickstand easy to install,1374883200,"07 27, 2013"
A3QVXHUK31USWK,B0001NDYOK,matt23,"[2, 3]","I bought 2 of these, one for my son's 14"" bike and the other for my 26"" bike. It fit both of them perfectly. Installation was about 10-15 minutes each and I am the type that does not use a toolbox that much. With the 14"" bike, the stand was installed with the shortest slot. The stand is pretty sturdy as it is double layered(because no extension). I would think that a 14"" bike would be the smallest bike size for this stand as the bike is slanted just right with the stand out. With the 26"" bike, the stand was installed with one slot short from the longest. The stand is still good but you would not want to put any weight on it besides the bike itself. Unlike the 14"" bike, the stand is almost fully extended so the stand is a little weak. Another recommendation would be to superglue the rubber protector on the tip of the stand as this will fall off pretty easily. My son almost lost his before I glued it on. Overall, the stand does the job and at this price, it looks good and I am happy. If you cycle on the daily basis I would recommend you to get a more sturdy one for the adult bikes.",5,Great Bike Stand for the price!,1338768000,"06 04, 2012"
A2PEG4VR9FON8R,B0001NDYOK,Michael Brandt,"[0, 0]","This is simple to install, easy to adjust to the size of the kids bike.  Best of call, you can remove it and put it on to the next size bike as they grow.  Don't let your kids get in the habit of laying the bike down on the ground - they will never learn to keep their equipment looking nice.I've bought two so far, and the last one seemed a bit stiff at first.  i moved it back and forth 5 times, gave it a couple of hard jerks to loosen the joint and it is as smooth and easy as the other one now.",5,Perfect for Kids bikes,1395360000,"03 21, 2014"
A2MEXAU72SKHHI,B0001NDYOK,"Mitchell Klein ""kiksav""","[0, 0]",This kick stand works as described. it was easy to install and hold the bike up. Is it the best kick stand on the market? NOt by a long shot. This is a good cheap product.,4,Good inexpensive kick stand,1374969600,"07 28, 2013"
AUAKRH8QRTEKD,B0001NDYOK,"Mr. J. R. T. Lloyd ""JRTL""","[0, 0]",Easy to fit but a bit short for my wife's 26&#34; wheel mountain bike. OK for the money I think.,3,"Bit short for a 26"" wheel bike",1371600000,"06 19, 2013"
A3JQ58CZBV3FOZ,B0001NDYOK,M. Wang,"[1, 2]","This kickstand is solidly built and should fit the great majority of bikes. The height adjustment works simply and flexibly. The installation was a little problematic for me, however.The bike I bought this kickstand for is a kids' model from Walmart. It actually has a small plate at the rear horizontal frame fork. This is exactly where the kickstand should be attached and I suspect that the maker of the bike planned to include a kickstand in the first place if Walmart had chosen to do so. The installation therefore would have been straightforward if the crew that came with the kickstand had not been 1/2 inch too short. Fortunately, I found a spare screw in my garage that is of the right size. This saved a trip to Home Depot.",4,"Good format/shape, but the screw is too short.",1305417600,"05 15, 2011"
A22CW0ZHY3NJH8,B0001NDYOK,Noname,"[34, 36]","It was very difficult for me to find a kickstand for my daughter's 12 inch bike, so I was happy to find this Bell adjustable height kickstand.It was easy to install.  Unlike my son's kickstand, which installed near the back wheel, this one goes on the frame right behind the pedal.The height adjusts by pulling the sleeve of the kickstand to the desired length and pinning it with a screw.  At the shortest length, the kickstand was too long.I ended up taking the sleeve off and that worked.  I just don't have a rubber cap to go on the end of the kickstand.The kickstand is very stiff.  I hope it loosens with time.  Right now, my daughter cannot use it herself.  I have to help her.Still, I'm glad the bike is no longer laying on the ground.",3,"For a 12"" bike?",1270166400,"04 02, 2010"
AT28RL25Q2OLK,B0001NDYOK,NyReckDiver,"[3, 3]","We have used this kickstand for over 2 months now.This kickstand was exactly what we needed following my daughters transition to riding without training wheels.  I was concerned at first about the kickstand being adjustable.  However, I was very happy with this feature and found the kickstand still remained very sturdy.The build quality of the kickstand was superb.  In fact, I would say rock solid.  I had to apply a little WD-40 to make it easier for my daughter to use until it breaks in.  Once applied, it was a lot easier.  The kickstand installs easily in about 2 minutes.Highly recommend this product.",5,Perfect,1382400000,"10 22, 2013"
A1IZZWE4I35RGN,B0001NDYOK,Sean B,"[0, 0]","I'm happy with this. About 5 minutes to put on my Trek 850. It's about an inch short. It's adjustable, and I have it all the way extended, Just need to put something on the end. I'm still happy with it and am ordering another, probably the best option out there. Works good otherwise.",4,"Easy install, good quality, a bit short",1399334400,"05 06, 2014"
A3112D9P7HXV0E,B0001NDYOK,The real Amazon fan,"[0, 0]",Very quick and easy to install.  I like how I could adjust the height of the kick-stand in fairly small increments for that right amount of tilt while parking my kid's bike.But the lever is too close to the bike frame and too stiff that my kid can not kick it down to park his bike.,2,Too stiff,1372464000,"06 29, 2013"
A3DLFBK6L9G07J,B0001NDYOK,Vince Clortho,"[0, 0]","I had to get a new kickstand after my OEM kickstand bent out of shape too badly to be repaired again.  I bought this one and decided to try it out.  It did install well.  One of the pros I found is that it actually made my bike stand straighter than the OEM did when it was new.  The original one always caused my bike to sag a little too much, and that's probably why it bent---too much strain.  The only small quirk I had about this stand is that it sits too flush with the bike frame when it is the retracted position.  I wasn't able to kick it in the down position when I reached back with my foot, but I easily fixed it by bending the kickstand rod outward a little (don't try this when it is installed, put it in a vice), and now it works fine.  The adjustable link makes custom-fitting easy for any size bike, and it doesn't seem like it is going to break.  All in all, I am very satisfied and would recommend it.",4,Does its job well,1333497600,"04 04, 2012"
A2ADK5HZNUEDG2,B0002INLC4,John Nichols,"[1, 2]","The grip is from NAA and as such fits as expected. There is some assembly required and care should be used, i.e., read the instructions! Provides a better grip and a reasonable folded package. Seems lighter material than earlier folding grips but may not affect use.",5,OEM grip/holster,1355788800,"12 18, 2012"
A27S3PD94KNNIY,B0002INLC4,Mark,"[5, 7]","This is a high-impact plastic holster designed to be clipped to your pocket.  When extended the assembly provides a nice handle for aiming.  The instructions are poorly written or this would be a five star review.  Just to go YouTube, there is a fantastic five minute video that the person should be compensated for.  I like the holster, it provides for a secure carry that's very comfortable.",4,Good product for the NAA .22 Magnum,1354147200,"11 29, 2012"
A1RPTVW5VEOSI,B0002INLC4,Michael J. Edelman,"[20, 21]","The NAA holster grip is advertised as an aid to carrying and shooting their mini revolvers, and essentially I think it succeeds on both counts. Not that the minis are difficult to shoot- I find I can easily fire even the magnum version with a two finger grip. Recoil is a non-issue; there's a little bit of muzzle flip, but actual recoil is minimal. Where the grips really help is in cocking the gun, which can be a bit clumsy with the standard bird's-eye grips. With the holster grip, it's very easy to keep a solid grip on the gun while cocking. Where I think theses grips really pay off is in safety. When folded, the grips cover the trigger, making the gun that much safer. Even if you were to accidentally cock the gun on drawing it, you couldn't hit the trigger. The spring clip makes carrying that much more secure, too, and less likely to fall out of your pocket.But they're not perfect. While the grips cover the trigger, they leave the muzzle and cylinder open to gather dust and lint. It's still a good idea to use some sort of pocket holster or pouch for carry. And while it looks like a pocket knife, it's at least three times as thick as the typical large folding knife. The biggest drawback, of course, is the cosmetic one. Once you swap grips it's no longer an attractive miniature; it becomes more of a functional tool. Of course, if you're carrying your mini as an ultimate, last ditch backup, that's not much of a price to pay.",3,Makes your NAA mini safer and easier to shoot- but uglier,1292457600,"12 16, 2010"
A2LALRZM8L3LP3,B0002INLC4,R. J. Peak,"[0, 0]",This is a nice accessory for the NAA Black Widow 22 Magnum pistol. I was able to put it together and install on my pistol with no problems.,5,Very handy grip for the Black Widow,1368230400,"05 11, 2013"
A1KJ10CDBAV7S1,B0002INLC4,sapo45,"[0, 0]","conceals well in a pocket, protects the trigger from being entangled with  objects, can open easily with a flick of the wrist, turns into a big grip for holding small revolver on target",5,fast draw,1376697600,"08 17, 2013"
AFWX0SKABRFIW,B0002RPT0M,"Bobbijoe12 ""Robert J Fred""","[0, 0]","After reading reviews on amazon and videos on UTUBE I was convinced of it's potential.I liked the  extreme power and accuracy of this pellet pistol.It's a real bargain and I would rate it at the most powerful repeater pellet  Co2 pistol but still able to give you about 40 powerful shots.It has great seals and  can hold  Co2  for a few days after piercing the  12 gram powerlet bottle.I did all the recommended a drop of oil on the powerlet seal tip  and had no problems when using the  crossman pelgun oil.I did a penetration test comparing it to my ruger mark 1 spring .177 cal  pellet pistol which  shoots at 600 fps on the chronnywith 5.4 gr raptor pellets and the  617X equaled the penetration comparison at about 3 inches into a thick  bell telephone book. It's as loud as the ruger but with out  the kick I would say about medium noise level with slight muzzle rise using the higher velocity raptor pellets which worked fine in the 6 shot rotary clipsYou may purchase extra clips from amazon.  I don't recommend flat  nose pellets or any long skirt pellets which may damage the  magazine mechanism.. The daisy hollow points are a cheaper well suited round that worked properly.I use the raptor  because of the extreme penetration thus I carry this  pistol in my truck  for  protection. since I don't qualify for a firearm. However in Florida  you may carry a handgun loaded in a holster or case or glove box as long as you have to do  at least two movements  or actions to use it . Like open the glove box  and reach in to pull it out.A well placed shot to the neck artery would  be deadly Please be safe, this is not a toy never point this or any gun at another person under any circumstances unless it's a last resort to protect a human life.",5,A really heavy hitter for a pellet pistol  !,1372204800,"06 26, 2013"
A2JCKEZPNEV98D,B0002RPT0M,g bez,"[0, 0]",well the fact that it will shoot pellets too is great but overall you get about 5 clips of shots before performance starts to drop and as far as opening the top latch to replace clip you should pull back on latch clip when closing instead of just slamming close but it is accurate within 40 ft. with no adjust which you cant do anyway and the destroyer pellets do more damage but they are considerably more exspensive and it comes with a one year warranty so that's nice.........,4,acurate,1364515200,"03 29, 2013"
AZOSIAZRRQLRS,B0002RPT0M,JD,"[0, 0]","I grabbed the gun for the first time, shot 4 rounds and hit the target 3 times, now that is good.  The similar gun I bought and shot at the same time was hard to hit the target 1 out of 4 times after several shots.  Maybe it's the fiber optic sight that made it better.  I don't know it just was the better of the two.the magazine loads nicely onto a pin sticking out of the barrel/breach when you tip it to load it so that was nice to.Fun pistol.JD",5,I bought two and this was much more accurate,1368057600,"05 09, 2013"
A3I42CDG116KKQ,B0002RPT0M,"J. F. Vogel ""Road Runner""","[0, 0]",Waiting for the Illinois winter to clear off so to have a chance to try out this Co2 powered pistol's performance. Gun was made in Japan and the quality shows. It is a slick set up with the rotary clips. BBs are magnetized to stay in the clip and the pellets will stay in place also. I ordered xtra clips as well. What surprised me also  was the TruGlow front site which will be a plus siting in a target. I can see this gun being fun to shoot. Highly recommend for fun shooting and the price is right.,5,air pistols,1362614400,"03 07, 2013"
ATNQUBJ8BKC4V,B0002RPT0M,"L. E. L. ""LEL""","[1, 1]","Pros - Great power and accuracy, nice weight, good sites.Cons - Barrel hold-down inadequate. Barrel often pops open when fired, especially with fresh CO2 cartridge..After short time began leaking CO2. Without firing will hold a charge for about 1 hour..Considering expensive price and short time before seals break-down the 617x is a poor choice, though it is great while it works.",1,Daisy 617x dual ammo CO2 pistol,1389657600,"01 14, 2014"
A2LH52P81X5LR1,B0002RPT0M,Sammmy,"[1, 1]","Nice gun for the price. Bought this as a CQB Ratter for maybe 15-20 feet distances. Alot of plastic which is good for rust resistance, but still has a good heft. After a few clips was grouping shots free hand under an inch at 20 feet which is plenty good for me.I bought this one due to multiple shots without reloading and the price point. This was after quite a bit of research.Get the extra five pack of clips [two come with the gun]. Remember to cycle the action [cock/uncock] after putting in a new clip to sync it.A drop of Pelloil [seperate] on top of the Co2 cartridge is good when replacing. Its an air gun so just like an air nailer, it needs a drop of oil.",5,Worth the money,1376006400,"08 09, 2013"
A1O0BAZ05TTOUJ,B0002X3MQE,Adak Rosebud,"[0, 0]","Purchased this for an old canteen I had, delivered ahead of time, am very happy with the quality of insulation in side, the pocket will come in handy. For the old military aluminum canteen I have it's just a little big. But at the end of the day it's price and quality made this a great find!!!!!",4,Very well built,1380153600,"09 26, 2013"
A25JLUCNFJX0JC,B0002X3MQE,"Amazon Customer ""kkane""","[0, 0]",i always look for a while but you can not beet the price i got on this it is a steal,5,what a price,1378857600,"09 11, 2013"
A31MLG5DWC93WL,B0002X3MQE,"Andre E. Foster ""junksquad1058""","[0, 0]",THIS WAS THE BEST SELLER FOR PRICE AND IS ORIGINAL U S MADE. IF YOU ARE PACKING THIS WITH CUP AND HEATER CUP JUST MAKE SURE YOU INSERT THE CORRECT WAY BECAUSE IT IS FORMED FITTED AND WILL ONLY SNAP CLOSE WHEN PROPERLY FITTED.,5,GOOD SELLER ORIGINAL,1386979200,"12 14, 2013"
A2ZJCNKZ6NP1KA,B0002X3MQE,B. Hawkins,"[1, 1]","This is a nice, durable feeling canteen cover.  The material is thick and hardware seems solid.  My 1 qt Rothco plastic GI canteen fit perfectly.",5,Good canteen cover,1354579200,"12 4, 2012"
A151OZOF8IV7RU,B0002X3MQE,Blonch14,"[0, 1]","I was a bit worried about ordering this canteen cover and although the shipping must have been completed by a tortoise, when I finally received the product I was very pleased.  It's us marked, has the Alice clips, was clean as a whistle, and had no fraying or rips in it.  Besides 1 star off for shipping the product was excellent.",4,Nice Canteen Cover,1361836800,"02 26, 2013"
AS4R3I9KU5JVH,B0002X3MQE,Dobrin'a,"[0, 0]","Partially insulated canteen holder. Instantly locks over one's belt (has to be a heavy duty one) with two metal (slide locks). The water in a canteen still gets pretty worm but after all, it's not a cooler, wright?My only complaint about it is in regards to the two snap-on buttons that are really tight and hard to open. Otherwise, the product is def well made, and above all that, doesn't seem to be made in china.",4,Made strong,1374969600,"07 28, 2013"
A23I152X4N77CR,B0002X3MQE,Donald D. Evans,"[0, 0]",Nice,3,Three Stars,1404604800,"07 06, 2014"
A311E6Y8KZZS78,B0002X3MQE,Franky Au,"[1, 1]",got this for my two canteen I had. looks like the same exact thing I had when I was in the army. it does it job nicely on my bug out bag,5,it works,1372982400,"07 05, 2013"
AHEKX7V41PZ07,B0002X3MQE,"H. Rodriguez ""SkinWalker""","[1, 1]","Now this item was very affordable and I bought tw of them for the plastic type canteen, made by REI. It is a far superior type of plastic nalgene canteen. This fits it and protects and has a small pocket for any anti-bactaria pills or whatever on it. I could not believe the price, awesome!",5,Good canteen cover,1355097600,"12 10, 2012"
